Species,MDS1,MDS2,MDS3,MDS4,MDS5,MDS6,MDS7,MDS8,MDS9,MDS10,MDS11,MDS12,MDS13,MDS14,MDS15,MDS16,MDS17,MDS18,MDS19,MDS20,MDS21
Piper_aduncum,-0.110187473,-1.562919442,0.344565243,-0.224938277,0.682782469,-1.656986429,0.210006301,0.250328597,-0.455913644,0.788631979,0.941879932,-1.920572187,0.261527073,0.084790941,0.943641988,0.088926987,-0.167256828,-0.0989549,0.234303797,0.060633251,0.067531844
Piper_auritifolium,-0.822581803,0.103501998,0.060887726,-1.526954625,-0.417358838,0.616543383,-0.928691013,-1.712781728,-0.330315589,1.534260802,0.79647595,0.466679775,0.470649862,0.387725207,-0.388666018,0.298288966,-0.789425303,0.24391056,-0.524546872,0.050218702,0.403255784
Piper_colonense,-0.371188534,-0.912910546,1.325537514,0.665184142,-0.741024612,0.072626261,0.516606387,-1.020606193,0.419298341,-0.340121088,-0.250166502,0.432621148,0.112612666,0.968283737,-0.052592704,0.571356937,1.60991805,1.39429522,0.906783429,0.428392992,-0.164730359
Piper_concepcionis,0.546317698,-1.098142638,-0.742395095,-0.06264332,-0.126513982,-0.69227319,-0.926775658,0.530302657,-2.010621023,-0.652977512,0.134136677,1.525586543,-0.988676504,0.037160229,-0.443148422,0.818699573,0.169001178,-0.089769296,0.005350654,0.133925144,0.117543929
Piper_darienense,-0.856333792,-0.789641524,-0.762409245,-1.635813024,0.245269135,1.475884488,1.937820517,0.699353859,-0.145973886,-0.978439898,0.063358763,-0.080430633,-0.18501265,0.431805687,0.200601437,-0.16017957,0.036256284,-0.149060708,-0.055793814,-0.093319545,0.124208553
Piper_evasum,-0.640960275,0.442055928,-1.719574683,1.146644701,0.22095253,-0.721863062,1.100318277,-0.556151422,0.044298391,0.108174938,0.608682004,0.559256729,1.495325466,-0.912905809,-0.507112588,0.631661165,0.138090129,0.180146559,0.368255476,-0.916440092,-0.075966479
Piper_garagaranum,0.466960653,0.206233169,0.453757079,-1.286355448,1.044786183,-1.416265097,0.042311068,-0.082525862,0.174899164,-0.345587286,-1.276365685,0.960654825,1.235904222,0.017852425,-0.439677097,-1.581845595,0.191568834,0.162021272,-0.137525987,0.314149954,-0.30014553
Piper_generalense,0.919082146,0.297946447,-0.805842179,0.22440609,-0.769547874,0.773869324,-0.107583819,-0.932920483,-0.857308974,-0.059300927,-0.200480098,-0.326004538,0.302938675,-0.600659915,1.784598527,-0.763948413,0.20972513,-0.111907956,0.074723043,0.953483101,-1.624732414
Piper_hispidum,-0.455123254,0.464840328,0.022285954,-0.476375601,-0.989295602,-0.211221027,-1.422873015,0.154381184,0.62442408,-2.174437631,1.194783829,-0.877131206,0.463891963,-0.699617484,-0.347390142,-0.367000986,0.251546739,0.045452044,0.182553586,0.175995587,0.544190992
Piper_multiplinervium,0.472346174,0.968344438,0.581154881,0.3723373,0.27732446,-0.285232061,0.835925204,0.306077349,0.085577629,-0.447905151,0.842382132,0.121788407,-0.525903736,0.497794038,-0.546831402,0.39302815,-2.183040005,1.037487533,0.32335965,1.144409252,-0.81774366
Piper_nudifolium,-0.050613584,1.056570282,1.07361531,-0.883698147,0.685211035,-0.190284796,0.225630707,-0.481637077,0.059846691,0.060510051,0.08317003,-0.12392841,-1.354751209,-1.199650688,-0.159059984,0.958175063,0.797678849,-0.940664128,0.605714123,-1.054252935,-1.155483566
Piper_paulowniifolium,0.780314684,-0.787820698,-0.323717437,-0.098141673,-0.177686826,0.126558221,-0.271628348,1.021661247,2.233924575,0.951194859,1.102957773,1.349400808,-0.368865337,-0.442722662,0.565381999,-0.150493314,0.305606169,-0.201212017,-0.203282927,0.260352265,-0.253070904
Piper_peltatum,-0.791180292,0.222310494,0.654065151,-0.092443654,-1.702247374,0.03747187,0.018773511,1.76979272,-0.543347683,1.048583473,-1.146223747,-0.107224522,0.311642862,-1.131028267,-0.011109353,-0.096232342,-0.442706226,0.819474712,0.296579164,-0.466728911,-0.02638015
Piper_peracuminatum,-0.929911648,0.857206693,0.117750357,0.754286571,-0.476317576,-0.200967132,-0.191427557,0.708822234,-0.329153225,0.377240746,0.510216449,0.233507797,0.076434128,2.074314347,-0.113449906,-0.929153246,0.34863839,-1.728074104,0.377558584,-0.279598635,-0.596329076
Piper_prismaticum,-1.153695345,0.269911093,-1.492934859,0.101338666,0.149219021,-0.827579151,-0.638727978,-0.446049125,1.094429815,-0.086629451,-1.573881863,-0.46028717,-1.557699576,0.560575385,0.579871415,0.196536018,-0.346523641,0.533676998,-0.183975693,0.105448364,0.080009149
Piper_reticulatum,1.235578067,0.573926428,-0.08549462,0.104453463,0.322600437,0.487931526,-0.002796806,-0.281835123,-0.179775206,0.213395889,-0.017804832,0.075904267,-0.415234306,0.216056405,0.711488722,-0.781616595,-0.34657023,0.25651573,1.903875921,-0.965566596,1.991012771
Piper_sanctifelicis,-0.52570836,-0.484178264,1.141502333,0.857370884,0.902156606,0.706015749,-0.652670123,-2.42E-05,0.19857392,-0.883102622,-0.672207937,0.651901412,0.969724756,-0.063950815,1.414869849,0.931345628,-1.137239772,-0.718520447,-0.621784887,-0.628050435,0.188127755
